epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.93,0.98086,1.00636,1.12202,0.45326,0.53755,0.45378,0.29522,1.28652,2.92733,1.35902,0.000297684,0.000297684,0.000297684
2,782.905,0.98983,1.0909,1.1144,0.36289,0.5518,0.41517,0.24043,1.49088,3.65729,1.51288,0.000541216,0.000541216,0.000541216
3,1007.2,1.06827,1.14603,1.15164,0.33131,0.49174,0.34404,0.21027,1.48486,3.50385,1.5351,0.000724755,0.000724755,0.000724755
4,1399.6,1.06742,1.20821,1.15404,0.38009,0.49326,0.38709,0.24649,1.4171,3.4033,1.50014,0.000639027,0.000639027,0.000639027
5,1615.29,1.03104,1.13267,1.16572,0.39099,0.49147,0.38624,0.24495,1.38877,3.60274,1.44094,0.000549036,0.000549036,0.000549036
6,2099.48,1.03116,1.06854,1.12859,0.42005,0.44725,0.39896,0.25131,1.47428,3.97901,1.51807,0.000459045,0.000459045,0.000459045
7,2992.75,1.00813,1.06245,1.11327,0.3594,0.56489,0.41087,0.26015,1.40017,3.69558,1.46027,0.000369054,0.000369054,0.000369054
8,3750.62,0.96393,0.94984,1.08178,0.41549,0.50432,0.43576,0.28328,1.33849,3.45993,1.39426,0.000279063,0.000279063,0.000279063
9,4825.53,0.92208,0.89975,1.05758,0.45409,0.47707,0.43455,0.29552,1.31712,3.16652,1.41936,0.000189072,0.000189072,0.000189072
10,5338.25,0.9237,0.87655,1.06026,0.44901,0.47705,0.44686,0.29927,1.33461,3.28151,1.40944,9.9081e-05,9.9081e-05,9.9081e-05
