epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1328.57,1.00535,1.06534,1.10081,0.47731,0.46258,0.41193,0.27329,1.31518,3.08372,1.3936,0.000297684,0.000297684,0.000297684
2,2036.18,1.05588,1.15355,1.15815,0.43916,0.51928,0.38608,0.25303,1.35133,2.96103,1.40675,0.000541216,0.000541216,0.000541216
3,2223.46,1.0861,1.20855,1.15791,0.41426,0.46264,0.40619,0.24821,1.40629,3.34659,1.44338,0.000724755,0.000724755,0.000724755
4,2461.53,1.08912,1.22724,1.16726,0.41564,0.42439,0.36037,0.24556,1.27723,3.32721,1.33805,0.000639027,0.000639027,0.000639027
5,2671.23,1.06904,1.17646,1.14004,0.33911,0.48595,0.36559,0.23113,1.30478,3.64934,1.3616,0.000549036,0.000549036,0.000549036
6,2879.46,1.07358,1.14609,1.14634,0.35059,0.53425,0.37041,0.23238,1.31927,2.85597,1.39692,0.000459045,0.000459045,0.000459045
7,3108.78,1.03657,1.12498,1.14745,0.30155,0.55735,0.3682,0.23732,1.31722,3.44192,1.4028,0.000369054,0.000369054,0.000369054
8,3321.9,1.01148,1.08096,1.12296,0.48739,0.4653,0.42504,0.26817,1.30325,3.33048,1.38751,0.000279063,0.000279063,0.000279063
9,3532.26,0.9764,1.00263,1.08303,0.39754,0.54659,0.42678,0.27898,1.28435,3.06969,1.38222,0.000189072,0.000189072,0.000189072
10,3746.39,0.96759,0.95683,1.08138,0.3964,0.51953,0.41281,0.26161,1.2833,3.07797,1.37014,9.9081e-05,9.9081e-05,9.9081e-05
